date,close,change,change_percent,direction
2017-08-17T08:00:00.000Z,4427.30,77.31,1.7772,up
2017-08-17T12:00:00.000Z,4352.34,-74.96,-1.6931,down
2017-08-17T16:00:00.000Z,4325.23,-27.11,-0.6229,down
2017-08-17T20:00:00.000Z,4285.08,-40.15,-0.9283,down
2017-08-18T00:00:00.000Z,4292.39,7.31,0.1706,up
2017-08-18T04:00:00.000Z,4300.25,7.86,0.1831,up
2017-08-18T08:00:00.000Z,4340.31,40.06,0.9316,up
2017-08-18T12:00:00.000Z,4236.89,-103.42,-2.3828,down
2017-08-18T16:00:00.000Z,4136.28,-100.61,-2.3746,down
2017-08-18T20:00:00.000Z,4108.37,-27.91,-0.6748,down
2017-08-19T00:00:00.000Z,4138.55,30.18,0.7346,up
2017-08-19T04:00:00.000Z,4033.47,-105.08,-2.5391,down
2017-08-19T08:00:00.000Z,3957.60,-75.87,-1.8810,down
2017-08-19T12:00:00.000Z,3972.05,14.45,0.3651,up
2017-08-19T16:00:00.000Z,4076.12,104.07,2.6201,up
2017-08-19T20:00:00.000Z,4139.98,63.86,1.5667,up
2017-08-20T00:00:00.000Z,4094.62,-45.36,-1.0957,down
2017-08-20T04:00:00.000Z,4155.87,61.25,1.4959,up
2017-08-20T08:00:00.000Z,4106.53,-49.34,-1.1872,down
2017-08-20T12:00:00.000Z,4125.00,18.47,0.4498,up
2017-08-20T16:00:00.000Z,4164.60,39.60,0.9600,up
2017-08-20T20:00:00.000Z,4086.29,-78.31,-1.8804,down
2017-08-21T00:00:00.000Z,4084.76,-1.53,-0.0374,down
2017-08-21T04:00:00.000Z,4043.63,-41.13,-1.0069,down
2017-08-21T08:00:00.000Z,4023.11,-20.52,-0.5075,down
2017-08-21T12:00:00.000Z,4022.00,-1.11,-0.0276,down
2017-08-21T16:00:00.000Z,4027.05,5.05,0.1256,up
2017-08-21T20:00:00.000Z,4016.00,-11.05,-0.2744,down
2017-08-22T00:00:00.000Z,3862.39,-153.61,-3.8250,down
2017-08-22T04:00:00.000Z,3798.08,-64.31,-1.6650,down
2017-08-22T08:00:00.000Z,3866.48,68.40,1.8009,up
2017-08-22T12:00:00.000Z,3858.23,-8.25,-0.2134,down
2017-08-22T16:00:00.000Z,3984.24,126.01,3.2660,up
2017-08-22T20:00:00.000Z,4040.00,55.76,1.3995,up
