date,close,change,change_percent,direction
2017-08-17T05:00:00.000Z,4315.32,6.49,0.1506,up
2017-08-17T06:00:00.000Z,4324.35,9.03,0.2093,up
2017-08-17T07:00:00.000Z,4349.99,25.64,0.5929,up
2017-08-17T08:00:00.000Z,4360.69,10.70,0.2460,up
2017-08-17T09:00:00.000Z,4444.00,83.31,1.9105,up
2017-08-17T10:00:00.000Z,4460.00,16.00,0.3600,up
2017-08-17T11:00:00.000Z,4427.30,-32.70,-0.7332,down
2017-08-17T12:00:00.000Z,4411.00,-16.30,-0.3682,down
2017-08-17T13:00:00.000Z,4459.00,48.00,1.0882,up
2017-08-17T14:00:00.000Z,4470.82,11.82,0.2651,up
2017-08-17T15:00:00.000Z,4352.34,-118.48,-2.6501,down
2017-08-17T16:00:00.000Z,4354.18,1.84,0.0423,up
2017-08-17T17:00:00.000Z,4289.24,-64.94,-1.4914,down
2017-08-17T18:00:00.000Z,4256.97,-32.27,-0.7523,down
2017-08-17T19:00:00.000Z,4325.23,68.26,1.6035,up
2017-08-17T20:00:00.000Z,4346.74,21.51,0.4973,up
2017-08-17T21:00:00.000Z,4333.55,-13.19,-0.3034,down
2017-08-17T22:00:00.000Z,4336.80,3.25,0.0750,up
2017-08-17T23:00:00.000Z,4285.08,-51.72,-1.1926,down
2017-08-18T00:00:00.000Z,4286.53,1.45,0.0338,up
2017-08-18T01:00:00.000Z,4243.59,-42.94,-1.0017,down
2017-08-18T02:00:00.000Z,4267.59,24.00,0.5656,up
2017-08-18T03:00:00.000Z,4292.39,24.80,0.5811,up
2017-08-18T04:00:00.000Z,4287.92,-4.47,-0.1041,down
2017-08-18T05:00:00.000Z,4313.56,25.64,0.5980,up
2017-08-18T06:00:00.000Z,4279.46,-34.10,-0.7905,down
2017-08-18T07:00:00.000Z,4300.25,20.79,0.4858,up
2017-08-18T08:00:00.000Z,4282.73,-17.52,-0.4074,down
2017-08-18T09:00:00.000Z,4304.15,21.42,0.5001,up
2017-08-18T10:00:00.000Z,4356.31,52.16,1.2119,up
2017-08-18T11:00:00.000Z,4340.31,-16.00,-0.3673,down
2017-08-18T12:00:00.000Z,4331.71,-8.60,-0.1981,down
2017-08-18T13:00:00.000Z,4293.09,-38.62,-0.8916,down
2017-08-18T14:00:00.000Z,4259.40,-33.69,-0.7847,down
2017-08-18T15:00:00.000Z,4236.89,-22.51,-0.5285,down
2017-08-18T16:00:00.000Z,4250.34,13.45,0.3174,up
2017-08-18T17:00:00.000Z,4193.35,-56.99,-1.3408,down
2017-08-18T18:00:00.000Z,4117.41,-75.94,-1.8110,down
2017-08-18T19:00:00.000Z,4136.28,18.87,0.4583,up
2017-08-18T20:00:00.000Z,4021.11,-115.17,-2.7844,down
2017-08-18T21:00:00.000Z,3975.69,-45.42,-1.1295,down
2017-08-18T22:00:00.000Z,4113.75,138.06,3.4726,up
2017-08-18T23:00:00.000Z,4108.37,-5.38,-0.1308,down
2017-08-19T00:00:00.000Z,4163.49,55.12,1.3417,up
2017-08-19T01:00:00.000Z,4148.53,-14.96,-0.3593,down
2017-08-19T02:00:00.000Z,4156.39,7.86,0.1895,up
2017-08-19T03:00:00.000Z,4138.55,-17.84,-0.4292,down
2017-08-19T04:00:00.000Z,4068.26,-70.29,-1.6984,down
2017-08-19T05:00:00.000Z,4077.00,8.74,0.2148,up
2017-08-19T06:00:00.000Z,3986.87,-90.13,-2.2107,down
2017-08-19T07:00:00.000Z,4033.47,46.60,1.1688,up
2017-08-19T08:00:00.000Z,3999.00,-34.47,-0.8546,down
2017-08-19T09:00:00.000Z,4068.20,69.20,1.7304,up
2017-08-19T10:00:00.000Z,4000.58,-67.62,-1.6622,down
2017-08-19T11:00:00.000Z,3957.60,-42.98,-1.0743,down
2017-08-19T12:00:00.000Z,4095.00,137.40,3.4718,up
2017-08-19T13:00:00.000Z,4039.84,-55.16,-1.3470,down
2017-08-19T14:00:00.000Z,4042.41,2.57,0.0636,up
2017-08-19T15:00:00.000Z,3972.05,-70.36,-1.7405,down
2017-08-19T16:00:00.000Z,4000.00,27.95,0.7037,up
2017-08-19T17:00:00.000Z,4027.37,27.37,0.6842,up
2017-08-19T18:00:00.000Z,4086.29,58.92,1.4630,up
2017-08-19T19:00:00.000Z,4076.12,-10.17,-0.2489,down
2017-08-19T20:00:00.000Z,4075.98,-0.14,-0.0034,down
2017-08-19T21:00:00.000Z,4074.23,-1.75,-0.0429,down
2017-08-19T22:00:00.000Z,4139.98,65.75,1.6138,up
2017-08-19T23:00:00.000Z,4139.98,0.00,0.0000,flat
2017-08-20T00:00:00.000Z,4086.09,-53.89,-1.3017,down
2017-08-20T01:00:00.000Z,4082.53,-3.56,-0.0871,down
2017-08-20T02:00:00.000Z,4124.69,42.16,1.0327,up
2017-08-20T03:00:00.000Z,4094.62,-30.07,-0.7290,down
2017-08-20T04:00:00.000Z,4093.00,-1.62,-0.0396,down
2017-08-20T05:00:00.000Z,4117.41,24.41,0.5964,up
2017-08-20T06:00:00.000Z,4115.41,-2.00,-0.0486,down
2017-08-20T07:00:00.000Z,4155.87,40.46,0.9831,up
2017-08-20T08:00:00.000Z,4184.73,28.86,0.6944,up
2017-08-20T09:00:00.000Z,4155.00,-29.73,-0.7104,down
2017-08-20T10:00:00.000Z,4142.41,-12.59,-0.3030,down
2017-08-20T11:00:00.000Z,4106.53,-35.88,-0.8662,down
2017-08-20T12:00:00.000Z,4108.47,1.94,0.0472,up
2017-08-20T13:00:00.000Z,4063.35,-45.12,-1.0982,down
2017-08-20T14:00:00.000Z,4096.32,32.97,0.8114,up
2017-08-20T15:00:00.000Z,4125.00,28.68,0.7001,up
2017-08-20T16:00:00.000Z,4131.46,6.46,0.1566,up
2017-08-20T17:00:00.000Z,4129.00,-2.46,-0.0595,down
2017-08-20T18:00:00.000Z,4154.56,25.56,0.6190,up
2017-08-20T19:00:00.000Z,4164.60,10.04,0.2417,up
2017-08-20T20:00:00.000Z,4140.93,-23.67,-0.5684,down
2017-08-20T21:00:00.000Z,4150.00,9.07,0.2190,up
2017-08-20T22:00:00.000Z,4169.98,19.98,0.4814,up
2017-08-20T23:00:00.000Z,4086.29,-83.69,-2.0070,down
2017-08-21T00:00:00.000Z,4108.28,21.99,0.5381,up
2017-08-21T01:00:00.000Z,4094.60,-13.68,-0.3330,down
2017-08-21T02:00:00.000Z,4079.94,-14.66,-0.3580,down
2017-08-21T03:00:00.000Z,4084.76,4.82,0.1181,up
2017-08-21T04:00:00.000Z,4104.68,19.92,0.4877,up
2017-08-21T05:00:00.000Z,4016.90,-87.78,-2.1385,down
2017-08-21T06:00:00.000Z,3982.96,-33.94,-0.8449,down
2017-08-21T07:00:00.000Z,4043.63,60.67,1.5232,up
2017-08-21T08:00:00.000Z,4036.30,-7.33,-0.1813,down
2017-08-21T09:00:00.000Z,4074.00,37.70,0.9340,up
2017-08-21T10:00:00.000Z,4088.10,14.10,0.3461,up
2017-08-21T11:00:00.000Z,4023.11,-64.99,-1.5897,down
2017-08-21T12:00:00.000Z,4000.00,-23.11,-0.5744,down
2017-08-21T13:00:00.000Z,3951.49,-48.51,-1.2128,down
2017-08-21T14:00:00.000Z,3989.17,37.68,0.9536,up
2017-08-21T15:00:00.000Z,4022.00,32.83,0.8230,up
2017-08-21T16:00:00.000Z,4029.05,7.05,0.1753,up
2017-08-21T17:00:00.000Z,4016.20,-12.85,-0.3189,down
2017-08-21T18:00:00.000Z,3918.80,-97.40,-2.4252,down
2017-08-21T19:00:00.000Z,4027.05,108.25,2.7623,up
2017-08-21T20:00:00.000Z,4025.04,-2.01,-0.0499,down
2017-08-21T21:00:00.000Z,4039.10,14.06,0.3493,up
2017-08-21T22:00:00.000Z,4041.10,2.00,0.0495,up
2017-08-21T23:00:00.000Z,4016.00,-25.10,-0.6211,down
2017-08-22T00:00:00.000Z,3790.00,-226.00,-5.6275,down
2017-08-22T01:00:00.000Z,3700.00,-90.00,-2.3747,down
2017-08-22T02:00:00.000Z,3849.98,149.98,4.0535,up
2017-08-22T03:00:00.000Z,3862.39,12.41,0.3223,up
2017-08-22T04:00:00.000Z,3500.80,-361.59,-9.3618,down
2017-08-22T05:00:00.000Z,3626.99,126.19,3.6046,up
2017-08-22T06:00:00.000Z,3803.00,176.01,4.8528,up
2017-08-22T07:00:00.000Z,3798.08,-4.92,-0.1294,down
2017-08-22T08:00:00.000Z,3794.12,-3.96,-0.1043,down
2017-08-22T09:00:00.000Z,3904.56,110.44,2.9108,up
2017-08-22T10:00:00.000Z,3844.08,-60.48,-1.5490,down
2017-08-22T11:00:00.000Z,3866.48,22.40,0.5827,up
2017-08-22T12:00:00.000Z,3934.01,67.53,1.7465,up
2017-08-22T13:00:00.000Z,3920.99,-13.02,-0.3310,down
2017-08-22T14:00:00.000Z,3849.00,-71.99,-1.8360,down
2017-08-22T15:00:00.000Z,3858.23,9.23,0.2398,up
2017-08-22T16:00:00.000Z,3905.84,47.61,1.2340,up
2017-08-22T17:00:00.000Z,3943.00,37.16,0.9514,up
2017-08-22T18:00:00.000Z,4043.76,100.76,2.5554,up
2017-08-22T19:00:00.000Z,3984.24,-59.52,-1.4719,down
2017-08-22T20:00:00.000Z,3960.29,-23.95,-0.6011,down
2017-08-22T21:00:00.000Z,3946.67,-13.62,-0.3439,down
2017-08-22T22:00:00.000Z,4002.00,55.33,1.4019,up
2017-08-22T23:00:00.000Z,4040.00,38.00,0.9495,up
2017-08-23T00:00:00.000Z,4036.00,-4.00,-0.0990,down
2017-08-23T01:00:00.000Z,4100.00,64.00,1.5857,up
2017-08-23T02:00:00.000Z,4083.72,-16.28,-0.3971,down
2017-08-23T03:00:00.000Z,4100.41,16.69,0.4087,up
2017-08-23T04:00:00.000Z,4083.60,-16.81,-0.4100,down
2017-08-23T05:00:00.000Z,4053.18,-30.42,-0.7449,down
2017-08-23T06:00:00.000Z,4080.00,26.82,0.6617,up
2017-08-23T07:00:00.000Z,4074.88,-5.12,-0.1255,down
2017-08-23T08:00:00.000Z,4124.00,49.12,1.2054,up
2017-08-23T09:00:00.000Z,4203.12,79.12,1.9185,up
2017-08-23T10:00:00.000Z,4228.02,24.90,0.5924,up
2017-08-23T11:00:00.000Z,4237.99,9.97,0.2358,up
2017-08-23T12:00:00.000Z,4215.68,-22.31,-0.5264,down
2017-08-23T13:00:00.000Z,4211.00,-4.68,-0.1110,down
2017-08-23T14:00:00.000Z,4174.00,-37.00,-0.8787,down
2017-08-23T15:00:00.000Z,4197.05,23.05,0.5522,up
2017-08-23T16:00:00.000Z,4210.03,12.98,0.3093,up
2017-08-23T17:00:00.000Z,4166.27,-43.76,-1.0394,down
2017-08-23T18:00:00.000Z,4143.37,-22.90,-0.5497,down
2017-08-23T19:00:00.000Z,4117.07,-26.30,-0.6347,down
2017-08-23T20:00:00.000Z,4118.40,1.33,0.0323,up
2017-08-23T21:00:00.000Z,4090.00,-28.40,-0.6896,down
2017-08-23T22:00:00.000Z,4114.20,24.20,0.5917,up
2017-08-23T23:00:00.000Z,4114.01,-0.19,-0.0046,down
2017-08-24T00:00:00.000Z,4131.00,16.99,0.4130,up
2017-08-24T01:00:00.000Z,4140.91,9.91,0.2399,up
2017-08-24T02:00:00.000Z,4131.92,-8.99,-0.2171,down
2017-08-24T03:00:00.000Z,4113.58,-18.34,-0.4439,down
2017-08-24T04:00:00.000Z,4113.98,0.40,0.0097,up
2017-08-24T05:00:00.000Z,4132.09,18.11,0.4402,up
2017-08-24T06:00:00.000Z,4133.42,1.33,0.0322,up
2017-08-24T07:00:00.000Z,4153.32,19.90,0.4814,up
2017-08-24T08:00:00.000Z,4200.00,46.68,1.1239,up
2017-08-24T09:00:00.000Z,4165.01,-34.99,-0.8331,down
2017-08-24T10:00:00.000Z,4173.98,8.97,0.2154,up
2017-08-24T11:00:00.000Z,4202.00,28.02,0.6713,up
2017-08-24T12:00:00.000Z,4150.89,-51.11,-1.2163,down
2017-08-24T13:00:00.000Z,4157.74,6.85,0.1650,up
2017-08-24T14:00:00.000Z,4221.00,63.26,1.5215,up
2017-08-24T15:00:00.000Z,4222.00,1.00,0.0237,up
2017-08-24T16:00:00.000Z,4215.00,-7.00,-0.1658,down
2017-08-24T17:00:00.000Z,4188.18,-26.82,-0.6363,down
2017-08-24T18:00:00.000Z,4221.00,32.82,0.7836,up
2017-08-24T19:00:00.000Z,4216.07,-4.93,-0.1168,down
2017-08-24T20:00:00.000Z,4193.50,-22.57,-0.5353,down
2017-08-24T21:00:00.000Z,4207.00,13.50,0.3219,up
2017-08-24T22:00:00.000Z,4326.23,119.23,2.8341,up
2017-08-24T23:00:00.000Z,4316.01,-10.22,-0.2362,down
2017-08-25T00:00:00.000Z,4366.00,49.99,1.1582,up
2017-08-25T01:00:00.000Z,4333.01,-32.99,-0.7556,down
2017-08-25T02:00:00.000Z,4363.71,30.70,0.7085,up
2017-08-25T03:00:00.000Z,4312.69,-51.02,-1.1692,down
2017-08-25T04:00:00.000Z,4310.20,-2.49,-0.0577,down
2017-08-25T05:00:00.000Z,4281.04,-29.16,-0.6765,down
2017-08-25T06:00:00.000Z,4302.72,21.68,0.5064,up
2017-08-25T07:00:00.000Z,4329.00,26.28,0.6108,up
2017-08-25T08:00:00.000Z,4332.17,3.17,0.0732,up
2017-08-25T09:00:00.000Z,4344.56,12.39,0.2860,up
2017-08-25T10:00:00.000Z,4314.33,-30.23,-0.6958,down
2017-08-25T11:00:00.000Z,4361.27,46.94,1.0880,up
2017-08-25T12:00:00.000Z,4309.69,-51.58,-1.1827,down
