date,close,change,change_percent,direction
2017-08-18,4108.37,-176.71,-4.1238,down
2017-08-19,4139.98,31.61,0.7694,up
2017-08-20,4086.29,-53.69,-1.2969,down
2017-08-21,4016.00,-70.29,-1.7201,down
2017-08-22,4040.00,24.00,0.5976,up
2017-08-23,4114.01,74.01,1.8319,up
2017-08-24,4316.01,202.00,4.9101,up
2017-08-25,4280.68,-35.33,-0.8186,down
2017-08-26,4337.44,56.76,1.3260,up
2017-08-27,4310.01,-27.43,-0.6324,down
2017-08-28,4386.69,76.68,1.7791,up
2017-08-29,4587.48,200.79,4.5773,up
2017-08-30,4555.14,-32.34,-0.7050,down
2017-08-31,4724.89,169.75,3.7266,up
2017-09-01,4834.91,110.02,2.3285,up
2017-09-02,4472.14,-362.77,-7.5031,down
2017-09-03,4509.08,36.94,0.8260,up
2017-09-04,4100.11,-408.97,-9.0699,down
2017-09-05,4366.47,266.36,6.4964,up
2017-09-06,4619.77,253.30,5.8010,up
2017-09-07,4691.61,71.84,1.5551,up
2017-09-08,4282.80,-408.81,-8.7136,down
2017-09-09,4258.81,-23.99,-0.5601,down
2017-09-10,4130.37,-128.44,-3.0159,down
2017-09-11,4208.47,78.10,1.8909,up
2017-09-12,4163.72,-44.75,-1.0633,down
2017-09-13,3944.69,-219.03,-5.2604,down
2017-09-14,3189.02,-755.67,-19.1566,down
2017-09-15,3700.00,510.98,16.0231,up
2017-09-16,3714.95,14.95,0.4041,up
2017-09-17,3699.99,-14.96,-0.4027,down
2017-09-18,4035.01,335.02,9.0546,up
2017-09-19,3910.04,-124.97,-3.0971,down
2017-09-20,3900.00,-10.04,-0.2568,down
2017-09-21,3609.99,-290.01,-7.4362,down
2017-09-22,3595.87,-14.12,-0.3911,down
2017-09-23,3780.00,184.13,5.1206,up
2017-09-24,3660.02,-119.98,-3.1741,down
2017-09-25,3920.75,260.73,7.1237,up
2017-09-26,3882.35,-38.40,-0.9794,down
2017-09-27,4193.00,310.65,8.0016,up
2017-09-28,4174.50,-18.50,-0.4412,down
2017-09-29,4174.69,0.19,0.0046,up
2017-09-30,4378.51,203.82,4.8823,up
2017-10-01,4378.48,-0.03,-0.0007,down
2017-10-02,4380.00,1.52,0.0347,up
2017-10-03,4310.00,-70.00,-1.5982,down
2017-10-04,4208.59,-101.41,-2.3529,down
2017-10-05,4292.43,83.84,1.9921,up
2017-10-06,4369.00,76.57,1.7838,up
2017-10-07,4423.00,54.00,1.2360,up
2017-10-08,4640.00,217.00,4.9062,up
2017-10-09,4786.95,146.95,3.1670,up
2017-10-10,4783.06,-3.89,-0.0813,down
2017-10-11,4821.43,38.37,0.8022,up
2017-10-12,5430.00,608.57,12.6222,up
2017-10-13,5649.98,219.98,4.0512,up
2017-10-14,5869.99,220.01,3.8940,up
2017-10-15,5709.99,-160.00,-2.7257,down
2017-10-16,5760.02,50.03,0.8762,up
2017-10-17,5595.00,-165.02,-2.8649,down
2017-10-18,5512.06,-82.94,-1.4824,down
2017-10-19,5683.90,171.84,3.1175,up
2017-10-20,6010.01,326.11,5.7374,up
2017-10-21,6024.97,14.96,0.2489,up
2017-10-22,5950.02,-74.95,-1.2440,down
2017-10-23,5915.93,-34.09,-0.5729,down
2017-10-24,5477.03,-438.90,-7.4190,down
2017-10-25,5689.99,212.96,3.8882,up
2017-10-26,5861.77,171.78,3.0190,up
2017-10-27,5768.83,-92.94,-1.5855,down
2017-10-28,5719.64,-49.19,-0.8527,down
2017-10-29,6169.98,450.34,7.8736,up
2017-10-30,6120.50,-49.48,-0.8019,down
2017-10-31,6463.00,342.50,5.5959,up
2017-11-01,6753.98,290.98,4.5022,up
2017-11-02,7019.98,266.00,3.9384,up
2017-11-03,7115.04,95.06,1.3541,up
2017-11-04,7357.09,242.05,3.4019,up
2017-11-05,7345.01,-12.08,-0.1642,down
2017-11-06,6960.12,-384.89,-5.2402,down
2017-11-07,7064.04,103.92,1.4931,up
2017-11-08,7303.00,238.96,3.3828,up
2017-11-09,7079.99,-223.01,-3.0537,down
2017-11-10,6506.98,-573.01,-8.0934,down
2017-11-11,6245.05,-261.93,-4.0254,down
2017-11-12,5811.03,-434.02,-6.9498,down
2017-11-13,6465.99,654.96,11.2710,up
2017-11-14,6574.99,109.00,1.6857,up
2017-11-15,7240.06,665.07,10.1151,up
2017-11-16,7864.50,624.44,8.6248,up
2017-11-17,7699.19,-165.31,-2.1020,down
2017-11-18,7761.94,62.75,0.8150,up
2017-11-19,8038.00,276.06,3.5566,up
2017-11-20,8212.00,174.00,2.1647,up
2017-11-21,8119.51,-92.49,-1.1263,down
2017-11-22,8205.92,86.41,1.0642,up
2017-11-23,8019.99,-185.93,-2.2658,down
2017-11-24,8138.00,118.01,1.4714,up
2017-11-25,8700.01,562.01,6.9060,up
2017-11-26,9128.02,428.01,4.9196,up
2017-11-27,9650.00,521.98,5.7184,up
2017-11-28,9896.80,246.80,2.5575,up
2017-11-29,9687.88,-208.92,-2.1110,down
